#This file was generated on Fri Feb 14 11:33:21 2025
#Using the somd command, of the molecular library Sire version <2024.4.0.dev> 
#For more information visit: https://github.com/openbiosim/sire
#
#General information on simulation parameters:
#Simulation used 50000 moves, 1 cycles and 200 ps of simulation time
#Generating lambda is		 1.00000
#Alchemical array is		 (0.0, 0.125, 0.25, 0.375, 0.5, 1.0)
#Generating temperature is 	25°C
#Energy was saved every 200 steps 
#
#
#   [step]               [potential]                [gradient]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
     200           -1.27266197e+05            2.24010213e+00            9.97762405e-01            1.00224261e+00     9.974599712714684e+03     9.974914042956816e+03     9.975228687350325e+03     9.975543078442241e+03     9.975857535970559e+03     9.977115359226436e+03
     400           -1.23503489e+05            1.13709447e+00            9.98863552e-01            1.00113774e+00     1.005031154928482e+04     1.005048521168827e+04     1.005065921849839e+04     1.005083295829716e+04     1.005100676399056e+04     1.005170197869630e+04
     600           -1.21342009e+05            1.88981459e+00            9.98111970e-01            1.00189160e+00     1.003833039426825e+04     1.003860054056358e+04     1.003887099704355e+04     1.003914119425859e+04     1.003941146342066e+04     1.004049253257307e+04
     800           -1.19796182e+05            1.10413324e+00            9.98896476e-01            1.00110474e+00     9.980738411589267e+03     9.980912062199517e+03     9.981086109028869e+03     9.981259867654697e+03     9.981433688517955e+03     9.982128965446642e+03
    1000           -1.18727694e+05            1.22046210e+00            9.98780282e-01            1.00122121e+00     9.982525550633325e+03     9.982715530932983e+03     9.982905842798207e+03     9.983095897159694e+03     9.983286014969468e+03     9.984046479305609e+03
    1200           -1.18129135e+05            1.81808093e+00            9.98183571e-01            1.00181973e+00     1.002392724539719e+04     1.002418253969132e+04     1.002443809758192e+04     1.002469343394497e+04     1.002494883256885e+04     1.002597041974050e+04
    1400           -1.17873434e+05            2.17894949e+00            9.97823423e-01            1.00218133e+00     9.999670901163940e+03     9.999983664225232e+03     1.000029672167892e+04     1.000060952760058e+04     1.000092240548505e+04     1.000217390980616e+04
    1600           -1.17890017e+05            9.41302297e-01            9.99059141e-01            1.00094175e+00     9.964470994511554e+03     9.964624536193436e+03     9.964778392567339e+03     9.964931996074447e+03     9.965085665527715e+03     9.965700336543874e+03
    1800           -1.17472599e+05            8.61706805e-01            9.99138664e-01            1.00086208e+00     9.951450048020555e+03     9.951596753541115e+03     9.951743795304876e+03     9.951890581032261e+03     9.952037426908799e+03     9.952624805797041e+03
    2000           -1.17482896e+05            4.94299815e-01            9.99505822e-01            1.00049442e+00     9.977184695922475e+03     9.977280417265147e+03     9.977376414179149e+03     9.977472182861853e+03     9.977568013995442e+03     9.977951332068407e+03
    2200           -1.17601604e+05           -1.15022512e-01            1.00011503e+00            9.99884984e-01     9.974592853467753e+03     9.974613395493066e+03     9.974634258850496e+03     9.974654876663564e+03     9.974675553355932e+03     9.974758253244110e+03
    2400           -1.17426578e+05            5.35807421e-01            9.99464336e-01            1.00053595e+00     1.006301220136490e+04     1.006311715106338e+04     1.006322243350730e+04     1.006332746366016e+04     1.006343255388824e+04     1.006385290641158e+04
    2600           -1.17459090e+05            8.33263167e-01            9.99167084e-01            1.00083361e+00     1.001885458160387e+04     1.001898880406064e+04     1.001912337261173e+04     1.001925768360336e+04     1.001939205308878e+04     1.001992952457370e+04
    2800           -1.17321372e+05            1.26205491e+00            9.98738741e-01            1.00126285e+00     1.013546043919574e+04     1.013564203165937e+04     1.013582398902942e+04     1.013600566749296e+04     1.013618741251314e+04     1.013691438583055e+04
    3000           -1.17454025e+05            6.52063936e-01            9.99348149e-01            1.00065228e+00     9.956122057169312e+03     9.956238678782074e+03     9.956355666056967e+03     9.956472386426363e+03     9.956589164999254e+03     9.957056272829195e+03
    3200           -1.17260874e+05            9.14077289e-01            9.99086340e-01            1.00091450e+00     9.999767311475269e+03     9.999918960432566e+03     1.000007091731634e+04     1.000022263277605e+04     1.000037440907804e+04     1.000098150668081e+04
    3400           -1.17236117e+05            9.42624761e-01            9.99057819e-01            1.00094307e+00     9.979978374719794e+03     9.980121471451082e+03     9.980264817130601e+03     9.980407952604774e+03     9.980551147624625e+03     9.981123920529457e+03
    3600           -1.16966430e+05            3.18487534e+00            9.96820191e-01            1.00318995e+00     1.001808628303498e+04     1.001851726142677e+04     1.001894855061554e+04     1.001937959889148e+04     1.001981070647049e+04     1.002153512990599e+04
    3800           -1.17096078e+05            2.93064049e+00            9.97073650e-01            1.00293494e+00     9.926464632891099e+03     9.926860121442163e+03     9.927255941537886e+03     9.927651517337623e+03     9.928047147360307e+03     9.929629661829516e+03
    4000           -1.17160255e+05            6.69285090e-01            9.99330939e-01            1.00066951e+00     9.988341640719398e+03     9.988463642267539e+03     9.988585910667967e+03     9.988707964647978e+03     9.988830074649853e+03     9.989318508580307e+03
    4200           -1.17177177e+05            2.74266059e-01            9.99725772e-01            1.00027430e+00     9.979425780863863e+03     9.979496158377426e+03     9.979566859346860e+03     9.979637306260345e+03     9.979707817274681e+03     9.979989853685498e+03
    4400           -1.17013099e+05            9.87541967e-01            9.99012945e-01            1.00098803e+00     1.001190452313082e+04     1.001206019976348e+04     1.001221621474220e+04     1.001237197446041e+04     1.001252779361238e+04     1.001315106409395e+04
    4600           -1.17047750e+05            8.33094002e-01            9.99167253e-01            1.00083344e+00     1.002380473893483e+04     1.002394366059143e+04     1.002408294211837e+04     1.002422196378764e+04     1.002436104101989e+04     1.002491734310495e+04
    4800           -1.17211334e+05            5.69018340e-01            9.99431144e-01            1.00056918e+00     1.006069897705642e+04     1.006080278921500e+04     1.006090699587815e+04     1.006101092449365e+04     1.006111490848228e+04     1.006153083990813e+04
    5000           -1.16988045e+05            5.93492856e-02            9.99940652e-01            1.00005935e+00     1.000883798854774e+04     1.000887721214792e+04     1.000891673283476e+04     1.000895601823889e+04     1.000899536363982e+04     1.000915273873189e+04
    5200           -1.16992392e+05            7.00544329e-01            9.99299701e-01            1.00070079e+00     9.969238863530903e+03     9.969360540733944e+03     9.969482594558402e+03     9.969604355901212e+03     9.969726188721725e+03     9.970213513912544e+03
    5400           -1.17064350e+05            3.76793452e-01            9.99623278e-01            1.00037686e+00     9.997035434369966e+03     9.997118983410734e+03     9.997202920077014e+03     9.997286587923511e+03     9.997370307679150e+03     9.997705180988336e+03
    5600           -1.17085562e+05           -7.13883981e-02            1.00007139e+00            9.99928614e-01     1.010126942965357e+04     1.010129625578415e+04     1.010132340859953e+04     1.010135031075558e+04     1.010137727366924e+04     1.010148511768491e+04
    5800           -1.17395244e+05            7.95342439e-01            9.99204974e-01            1.00079566e+00     1.010601362157430e+04     1.010614821515261e+04     1.010628315301512e+04     1.010641782646086e+04     1.010655256369765e+04     1.010709150582100e+04
    6000           -1.17288335e+05            1.73934646e-01            9.99826080e-01            1.00017395e+00     9.992795132839750e+03     9.992848193023685e+03     9.992901627992036e+03     9.992954784546182e+03     9.993008003700308e+03     9.993220874560864e+03
    6200           -1.17187387e+05            1.85123958e-01            9.99814893e-01            1.00018514e+00     1.004411556385354e+04     1.004417112061108e+04     1.004422709282696e+04     1.004428276494725e+04     1.004433850043274e+04     1.004456143701194e+04
    6400           -1.17159619e+05            8.46045085e-01            9.99154313e-01            1.00084640e+00     1.006059146635041e+04     1.006073482299940e+04     1.006087853191981e+04     1.006102195991399e+04     1.006116545966918e+04     1.006173945298795e+04
    6600           -1.17082307e+05            2.26260243e-01            9.99773765e-01            1.00022629e+00     1.003910183745377e+04     1.003916059059029e+04     1.003921969960055e+04     1.003927853025112e+04     1.003933742962649e+04     1.003957302179921e+04
    6800           -1.17166199e+05            1.31087792e-01            9.99868921e-01            1.00013110e+00     1.003692095334496e+04     1.003697655978692e+04     1.003703248796125e+04     1.003708816414885e+04     1.003714390337248e+04     1.003736685340000e+04
    7000           -1.16920129e+05            8.48180927e-01            9.99152179e-01            1.00084854e+00     1.000683103401372e+04     1.000697044190476e+04     1.000711022730138e+04     1.000724972629140e+04     1.000738929229157e+04     1.000794755056943e+04
    7200           -1.17068716e+05            1.72374813e+00            9.98277737e-01            1.00172523e+00     1.005603171514802e+04     1.005627662601269e+04     1.005652185143496e+04     1.005676683378927e+04     1.005701187550640e+04     1.005799203586479e+04
    7400           -1.17105597e+05            4.56504905e-01            9.99543599e-01            1.00045661e+00     1.001356249439293e+04     1.001365768494576e+04     1.001375316908450e+04     1.001384842940349e+04     1.001394374324572e+04     1.001432499209852e+04
    7600           -1.17202131e+05            1.90754054e+00            9.98094278e-01            1.00190936e+00     1.002139701242078e+04     1.002167202389521e+04     1.002194744422672e+04     1.002222257564922e+04     1.002249776529873e+04     1.002359851817668e+04
    7800           -1.17317725e+05            2.28888664e+00            9.97713731e-01            1.00229151e+00     1.009249106560200e+04     1.009281138481072e+04     1.009313207923100e+04     1.009345249736895e+04     1.009377297704818e+04     1.009505488849436e+04
    8000           -1.16990916e+05            3.03302008e+00            9.96971575e-01            1.00303762e+00     1.002390753673320e+04     1.002432047752633e+04     1.002473377133166e+04     1.002514677443651e+04     1.002555985583951e+04     1.002721217494581e+04
