#This file was generated on Thu Nov 23 15:04:38 2023
#Using the somd command, of the molecular library Sire version <2023.1.3> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 25000 moves, 2 cycles and 200 ps of simulation time
#Generating lambda is		 0.12500
#Alchemical array is		 (0.0, 0.125, 0.25, 0.375, 0.5, 1.0)
#Generating temperature is 	25°C
#Energy was saved every 200 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
     200           -8.39979625e+04            3.32889210e+00            9.96198739e-01            1.00285334e+00     6.928273494641360e+03     6.928604272750709e+03     6.928935246454558e+03     6.929266062375454e+03     6.929596919769489e+03     6.930920344897617e+03
     400           -8.14417961e+04            3.12199525e+00            9.96412525e-01            1.00265358e+00     6.913076519786025e+03     6.913382483241117e+03     6.913688642756683e+03     6.913994654067193e+03     6.914300700395755e+03     6.915524881005485e+03
     600           -7.97900118e+04            6.05366325e+00            9.93477169e-01            1.00557863e+00     6.945456284024477e+03     6.946124354875819e+03     6.946792646487107e+03     6.947460761911856e+03     6.948128922649435e+03     6.950801561274393e+03
     800           -7.83722513e+04            2.07831374e+00            9.97417296e-01            1.00157182e+00     6.916101534674363e+03     6.916273937636387e+03     6.916446562550167e+03     6.916619021916741e+03     6.916791519287664e+03     6.917481503900965e+03
    1000           -7.77196774e+04            8.82461978e-01            9.98641548e-01            1.00040563e+00     6.907781436513539e+03     6.907805247670940e+03     6.907829242818360e+03     6.907853093204359e+03     6.907876980422264e+03     6.907972524330989e+03
    1200           -7.73553552e+04            6.54971776e+00            9.92971037e-01            1.00606396e+00     6.867672370074202e+03     6.868400874512233e+03     6.869129623155144e+03     6.869858204272057e+03     6.870586817511737e+03     6.873501264949272e+03
    1400           -7.72672775e+04            5.64824127e+00            9.93870934e-01            1.00516183e+00     6.883675541286153e+03     6.884293797355781e+03     6.884912245823823e+03     6.885530545700742e+03     6.886148881290189e+03     6.888622221294226e+03
    1600           -7.69931436e+04            1.27647207e+01            9.86812132e-01            1.01232923e+00     6.922581038052191e+03     6.924089306280715e+03     6.925597850277712e+03     6.927106201134399e+03     6.928614590277661e+03     6.934648142503131e+03
    1800           -7.68910699e+04            4.04174513e+00            9.95472146e-01            1.00355165e+00     6.923045429737602e+03     6.923464560284058e+03     6.923883922540790e+03     6.924303114065287e+03     6.924722343799441e+03     6.926399257861280e+03
    2000           -7.69615528e+04            2.24271520e+00            9.97271094e-01            1.00175433e+00     6.925590740482065e+03     6.925786567519164e+03     6.925982559214443e+03     6.926178411635085e+03     6.926374303534766e+03     6.927157866587468e+03
    2200           -7.66043623e+04            5.32237860e+00            9.94217207e-01            1.00485694e+00     6.821723099310376e+03     6.822304972367465e+03     6.822887069954088e+03     6.823468996202863e+03     6.824050963318230e+03     6.826378827326084e+03
    2400           -7.66649733e+04            6.12760901e+00            9.93413562e-01            1.00566297e+00     6.908072197740895e+03     6.908753245304266e+03     6.909434482019185e+03     6.910115570715177e+03     6.910796696915522e+03     6.913521196090150e+03
    2600           -7.66560082e+04            5.82584380e+00            9.93711653e-01            1.00535779e+00     6.840400058441411e+03     6.841044738787199e+03     6.841689619730707e+03     6.842334340257198e+03     6.842979102258882e+03     6.845558146076351e+03
    2800           -7.66849932e+04            6.05811994e+00            9.93498878e-01            1.00560957e+00     6.848276638544035e+03     6.848947868548239e+03     6.849619254530409e+03     6.850290526742460e+03     6.850961824421455e+03     6.853647010298875e+03
    3000           -7.65436508e+04            5.16538854e+00            9.94354392e-01            1.00468009e+00     6.806646441320766e+03     6.807205746227226e+03     6.807765286819652e+03     6.808324658158207e+03     6.808884065326181e+03     6.811121689331596e+03
    3200           -7.68056941e+04            7.58367397e+00            9.91962913e-01            1.00712304e+00     6.872292388346776e+03     6.873153697010096e+03     6.874015223852598e+03     6.874876601243720e+03     6.875738006954554e+03     6.879183625562334e+03
    3400           -7.67737162e+04            1.74399124e+00            9.97783933e-01            1.00127026e+00     6.881454769540042e+03     6.881586406205995e+03     6.881718215365018e+03     6.881849890347788e+03     6.881981598821509e+03     6.882508428102975e+03
    3600           -7.69038601e+04            1.08153101e+01            9.88738857e-01            1.01035888e+00     6.869595294414691e+03     6.870860048221697e+03     6.872125030638475e+03     6.873389837096054e+03     6.874654686332836e+03     6.879714078250980e+03
    3800           -7.68079973e+04            4.64676438e+00            9.94863148e-01            1.00415203e+00     6.903825082519579e+03     6.904320520424991e+03     6.904816173346353e+03     6.905311686913878e+03     6.905807223334912e+03     6.907789364150244e+03
    4000           -7.67897291e+04            5.53625170e+00            9.93973733e-01            1.00504067e+00     6.901123786288190e+03     6.901729298721355e+03     6.902335053614995e+03     6.902940631550751e+03     6.903546248477266e+03     6.905968710666341e+03
    4200           -7.66370736e+04            4.89934412e+00            9.94641914e-01            1.00443601e+00     6.868874887471223e+03     6.869398458684834e+03     6.869922230167595e+03     6.870445846816408e+03     6.870969501558387e+03     6.873064115645552e+03
    4400           -7.67411390e+04            6.27214862e+00            9.93289550e-01            1.00582815e+00     6.854559030475917e+03     6.855255412442442e+03     6.855952017603315e+03     6.856648457491435e+03     6.857344934763309e+03     6.860130839050699e+03
    4600           -7.68824018e+04            2.76132542e+00            9.96750300e-01            1.00227023e+00     6.973425948293066e+03     6.973684261052969e+03     6.973942793249580e+03     6.974201156957190e+03     6.974459561523923e+03     6.975493174754782e+03
    4800           -7.66862690e+04            5.93387233e+00            9.93635087e-01            1.00549755e+00     6.839594713650979e+03     6.840252690066647e+03     6.840910862635384e+03     6.841568892191211e+03     6.842226953552577e+03     6.844859193454175e+03
    5000           -7.68240406e+04            4.00268305e+00            9.95516404e-01            1.00351786e+00     6.921809665363859e+03     6.922225419424316e+03     6.922641396912108e+03     6.923057208890424e+03     6.923473058265940e+03     6.925136451168023e+03
    5200           -7.67916293e+04            4.97526942e+00            9.94577074e-01            1.00452305e+00     6.887316453510219e+03     6.887852674563459e+03     6.888389080195157e+03     6.888925351625598e+03     6.889461652540657e+03     6.891606851571096e+03
    5400           -7.69105781e+04            8.31383433e+00            9.91259482e-01            1.00787961e+00     6.854240579170556e+03     6.855200582823712e+03     6.856160821795435e+03     6.857120886608090e+03     6.858080990772930e+03     6.861921402375306e+03
    5600           -7.68993116e+04            2.40254257e+00            9.97127966e-01            1.00193078e+00     6.855714869231557e+03     6.855931873607834e+03     6.856149082945832e+03     6.856366140200160e+03     6.856583232332152e+03     6.857451595432746e+03
