#This file was generated on Tue Mar 21 22:52:37 2023
#Using the somd command, of the molecular library Sire version <2023.1.3> 
#For more information visit: https://github.com/openbiosim/sire
#
#General information on simulation parameters:
#Simulation used 25000 moves, 60 cycles and 3000 ps of simulation time
#Generating lambda is		 0.10500
#Alchemical array is		 (0.0, 0.105, 0.221, 0.348, 0.477, 0.603, 0.742, 1.0)
#Generating temperature is 	25°C
#Energy was saved every 100 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
     100           -1.83644679e+04            5.14119283e+02            5.98152538e-01            1.67251601e+00    -3.587985073864375e+02    -3.021765447646900e+02    -2.457520699926076e+02    -1.913554809853816e+02    -1.439979412457292e+02    -1.054236626754722e+02    -7.167638368030396e+01    -3.352646061217457e+01
     200           -1.78412063e+04            5.12310586e+02            5.99238675e-01            1.66950282e+00    -3.534891094472109e+02    -2.970061413136456e+02    -2.408580432605276e+02    -1.869119991518517e+02    -1.401703052507860e+02    -1.023515290116031e+02    -6.961413959995201e+01    -3.382951575559800e+01
     300           -1.75350987e+04            5.19181185e+02            5.95120390e-01            1.68096967e+00    -3.448276873714610e+02    -2.876021853556945e+02    -2.306837744945315e+02    -1.759546845343751e+02    -1.284821415048419e+02    -9.001235777846895e+01    -5.662875999824383e+01    -1.984483421030027e+01
     400           -1.73462622e+04            5.15377634e+02            5.97423012e-01            1.67468555e+00    -3.542830622829636e+02    -2.974447394440838e+02    -2.409786294343002e+02    -1.867740655725482e+02    -1.398658683794352e+02    -1.019778938625217e+02    -6.927125237397927e+01    -3.384151626326581e+01
     500           -1.71575496e+04            5.11014616e+02            6.00027417e-01            1.66737294e+00    -3.562234573970446e+02    -2.999147863560798e+02    -2.438678597535475e+02    -1.899225101938743e+02    -1.430637686405396e+02    -1.050161039338273e+02    -7.189485912733062e+01    -3.503252206276185e+01
     600           -1.70015496e+04            5.17904156e+02            5.95901712e-01            1.67888314e+00    -3.599355178592822e+02    -3.028551908325351e+02    -2.460723625728760e+02    -1.914617248109980e+02    -1.440774883441694e+02    -1.056627110880090e+02    -7.230406272902736e+01    -3.546706308551960e+01
     700           -1.69369105e+04            5.07734814e+02            6.01981659e-01            1.66186643e+00    -3.513082603205919e+02    -2.953108854304308e+02    -2.396846002464888e+02    -1.862921605063552e+02    -1.400938989373049e+02    -1.027875425298450e+02    -7.059432272230707e+01    -3.576109749321347e+01
     800           -1.68977797e+04            5.09927831e+02            6.00677854e-01            1.66555626e+00    -3.498016260957370e+02    -2.935657570249945e+02    -2.376945433302674e+02    -1.840563404703382e+02    -1.376324297624021e+02    -1.001289426337571e+02    -6.774501832550997e+01    -3.263215373703181e+01
     900           -1.67658046e+04            5.17672433e+02            5.96071452e-01            1.67858325e+00    -3.552268129720224e+02    -2.981385302365787e+02    -2.414194908032006e+02    -1.869659333499666e+02    -1.398346525182121e+02    -1.017577908695516e+02    -6.887610634988030e+01    -3.321406239147586e+01
    1000           -1.67584435e+04            5.29307539e+02            5.89155755e-01            1.69816862e+00    -3.585659347848194e+02    -3.003071612164358e+02    -2.421834386430776e+02    -1.860576325224185e+02    -1.370840941843520e+02    -9.706798938882712e+01    -6.188670637679006e+01    -2.151056702370153e+01
