#This file was generated on Thu Apr 27 00:39:39 2023
#Using the somd command, of the molecular library Sire version <2023.1.3> 
#For more information visit: https://github.com/openbiosim/sire
#
#General information on simulation parameters:
#Simulation used 25000 moves, 2 cycles and 200 ps of simulation time
#Generating lambda is		 0.25000
#Alchemical array is		 (0.0, 0.125, 0.25, 0.375, 0.5, 1.0)
#Generating temperature is 	25°C
#Energy was saved every 200 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
     200           -1.33531641e+05            4.40706825e+00            9.97037877e-01            1.00586475e+00     2.417409742561252e+04     2.417447036957426e+04     2.417484422054941e+04     2.417521745029277e+04     2.417559079308649e+04     2.417708416056045e+04
     400           -1.29295334e+05            3.14726119e+00            9.98314562e-01            1.00461829e+00     2.416942090600418e+04     2.416963220532485e+04     2.416984443358945e+04     2.417005602890770e+04     2.417026773847622e+04     2.417111457094825e+04
     600           -1.27106584e+05            3.15883312e+00            9.98292061e-01            1.00461890e+00     2.396954596751740e+04     2.396976096800098e+04     2.396997684330711e+04     2.397019211111193e+04     2.397040749354275e+04     2.397126901956810e+04
     800           -1.25663428e+05            6.39412849e+00            9.95011511e-01            1.00781768e+00     2.412004297988457e+04     2.412066960364200e+04     2.412129704930736e+04     2.412192392041199e+04     2.412255090193394e+04     2.412505882398332e+04
    1000           -1.24829279e+05            4.44985659e+00            9.96943025e-01            1.00585513e+00     2.420934513875598e+04     2.420972463496934e+04     2.421010495216166e+04     2.421048468714809e+04     2.421086453743250e+04     2.421238393610901e+04
    1200           -1.23953227e+05            2.87262224e+00            9.98520391e-01            1.00427365e+00     2.413297109725277e+04     2.413315738751336e+04     2.413334457128017e+04     2.413353112229510e+04     2.413371779905959e+04     2.413446450086640e+04
    1400           -1.23449102e+05            3.87708675e+00            9.97556418e-01            1.00532171e+00     2.413796562980561e+04     2.413826823440540e+04     2.413857173775359e+04     2.413887463528513e+04     2.413917763912089e+04     2.414038964843617e+04
    1600           -1.23146689e+05            3.41181324e+00            9.98036393e-01            1.00486991e+00     2.406114572748589e+04     2.406138887133270e+04     2.406163296982656e+04     2.406187643036966e+04     2.406211999956476e+04     2.406309427164363e+04
    1800           -1.22917143e+05            4.13233869e+00            9.97216222e-01            1.00549204e+00     2.404734328499082e+04     2.404768728846073e+04     2.404803208013029e+04     2.404837632214918e+04     2.404872066957323e+04     2.405009805415565e+04
    2000           -1.22989994e+05            9.56870571e+00            9.91868734e-01            1.01103333e+00     2.413931574474335e+04     2.414033436853034e+04     2.414135380668606e+04     2.414237266111136e+04     2.414339163479474e+04     2.414746752484614e+04
    2200           -1.22585201e+05            2.99399733e+00            9.98462354e-01            1.00445908e+00     2.411052347157662e+04     2.411071418597769e+04     2.411090588373982e+04     2.411109691722081e+04     2.411128806822219e+04     2.411205266486778e+04
    2400           -1.22546815e+05            6.49289014e+00            9.94956413e-01            1.00796095e+00     2.419447553476264e+04     2.419510353766968e+04     2.419573240576322e+04     2.419636068723905e+04     2.419698907279975e+04     2.419950261083687e+04
    2600           -1.22753727e+05            8.07932265e+00            9.93392430e-01            1.00957470e+00     2.397548542129942e+04     2.397631358805388e+04     2.397714272700697e+04     2.397797120044028e+04     2.397879979453143e+04     2.398211416776344e+04
    2800           -1.22369736e+05            3.94438176e+00            9.97493152e-01            1.00539326e+00     2.414747480746646e+04     2.414778670787333e+04     2.414809948388535e+04     2.414841165857943e+04     2.414872394346026e+04     2.414997307945406e+04
    3000           -1.22573427e+05            8.14959046e+00            9.93304103e-01            1.00962681e+00     2.404992100653665e+04     2.405076147594053e+04     2.405160281345220e+04     2.405244352597347e+04     2.405328436690319e+04     2.405664772726972e+04
    3200           -1.22623575e+05            2.45052859e+00            9.98953250e-01            1.00386119e+00     2.419632672305610e+04     2.419645888325665e+04     2.419659184335692e+04     2.419672422051610e+04     2.419685672079105e+04     2.419738671852600e+04
    3400           -1.22371354e+05            5.40558937e+00            9.96032872e-01            1.00685958e+00     2.409320771113437e+04     2.409370340205124e+04     2.409419995614735e+04     2.409469590446864e+04     2.409519197043278e+04     2.409717622973120e+04
    3600           -1.22500149e+05            2.43055671e+00            9.99009425e-01            1.00387755e+00     2.430810870238658e+04     2.430823349407017e+04     2.430835926186536e+04     2.430848436664405e+04     2.430860958969660e+04     2.430911047700662e+04
    3800           -1.22124903e+05            3.01429799e+00            9.98415971e-01            1.00445320e+00     2.418084784796742e+04     2.418104203993933e+04     2.418123715530236e+04     2.418143165527692e+04     2.418162625927064e+04     2.418240467057386e+04
    4000           -1.22363011e+05            6.35618981e+00            9.95088834e-01            1.00781953e+00     2.403347492165523e+04     2.403408821160059e+04     2.403470241321908e+04     2.403531600379518e+04     2.403592969877576e+04     2.403838447589630e+04
    4200           -1.22476898e+05            3.84795750e+00            9.97598582e-01            1.00530563e+00     2.415238985577910e+04     2.415268993749035e+04     2.415299083560150e+04     2.415329117322051e+04     2.415359161386138e+04     2.415479337194367e+04
    4400           -1.22577637e+05            7.61739900e+00            9.93815142e-01            1.00907164e+00     2.417203688643295e+04     2.417280981573446e+04     2.417358357351529e+04     2.417435676397588e+04     2.417513005770889e+04     2.417822322898483e+04
